"Aircraft Name","Company Name","Contact Number",url
"1960 De-Havilland DHC-3T Turbo Otter","Levaero Aviation Inc","""+1-905-672-2000, +1 647-248-7554""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5725/1960-de-havilland-dhc-3t-turbo-otter
"1974 Twin Commander 690A","Jet Access Group","""+1.317.293.6935, +1.317.809.4010""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6216/1974-twin-commander-690a
"1974 Twin Commander 690A","Jet Access Group","""+1.317.293.6935, +1.317.809.4010""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6219/1974-twin-commander-690a
"1975 Dassault Falcon 20F-5BR","Elliott Jets","""952-944-1200, 612-787-5676""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6243/1975-dassault-falcon-20
"1975 Cessna 182P Skylane","Exclusive Aircraft Sales","""651-450-6200, 952-250-7817""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5875/1975-cessna-182
"1975 Cessna Citation 500",Jetcraft,"""+1 919.941.8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5424/1975-cessna-citation-500
"1975 Bell AB-206B Jet Ranger","CFS Jets","""704-359-0007, 386-316-4010""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5537/1975-bell-ab-206b-jet-ranger
"1976 Bell 214","ASIAN SKY GROUP","""+852 9199.7751""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5513/1976-bell-214
"1977 Bell AH-1 Cobra","Jeteffect, Inc.","""562-989-8800, 714-585-4703""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4375/1977-bell-ah-1
"1978 Beechcraft King Air C90","Dallas Jet International","""+1 817.991.1204""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6124/1978-beechcraft-king-air-c90
"1978 Cessna Citation ISP","Eagle Aviation","""803-530-3520""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6111/1978-cessna-citation-isp
"1979 Cessna 414A RAM VII","CFS Jets","""210-687-1828""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5822/1979-cessna-414a
"1979 Cessna Citation ISP",JETAVIVA,"""+1 903.812.0540""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6188/1979-cessna-citation-isp
"1980 Bell 212","ASIAN SKY GROUP","""+852 9199.7751""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4580/1980-bell-212
"1980 Beechcraft King Air F90","Jeteffect, Inc.","""561-747-2223, 561-762-7171""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5627/1980-beechcraft-king-air-f90
"1981 Beechcraft King Air B200","Oshman Aviation","""1.817.661.0234, 1.214.683.4112""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5647/1981-beechcraft-king-air-b200
"1982 Beechcraft King Air B200",JETAVIVA,"""+1 512.410.0295""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5543/1982-beechcraft-king-air-b200
"1983 Bombardier Challenger 601 - 3A","Eagle Aviation","""336-406-6947""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4041/1983-bombardier-challenger-601
"1983 Twin Commander 840-10","Jet Access Group","""+1.317.293.6935, +1.317.809.4010""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5998/1983-twin-commander-840
"1983 Bombardier Challenger 601 - 1A","Duncan Aviation, Inc.","""312-985-6230""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5758/1983-bombardier-challenger-601
"1984 Beechcraft King Air C90A",Jetcraft,"""+1 919.941.8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5213/1984-beechcraft-king-air-c90
"1985 Beechcraft King Air B200","Atlas Air Service AG","""+49 42153658712, +49 15222804649""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5304/1985-beechcraft-king-air-b200
"1985 Cessna A185F","Lone Mountain Aircraft","""+1 407.592.3826""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6224/1985-cessna-a185f
"1987 Cessna Citation III","Jones Aviation Group LLC","""+1.214.454.7161""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5479/1987-cessna-citation-iii
"1988 Eurocopter BO 105","Meisinger Aviation","""8162134906, 816-213-4906""",https://aircraftexchange.com/jet-aircraft-for-sale/details/3463/1988-eurocopter-bo-105
"1988 Gulfstream G-IV","Avpro, Inc.","""410-573-1515, 310-863-4329""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4855/1988-gulfstream-g-iv
"1988 Beechcraft King Air B200","Oshman Aviation","""1.817.661.0234, 1.214.683.4112""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6259/1988-beechcraft-king-air-b200
"1988 Gulfstream G-IV","Jetsetter Business Jets","""+972.54.977.3890""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5665/1988-gulfstream-g-iv
