Company Name,Contact Number,Email,URL
Aerogaviota,+53 7 203 0668,com@aerogaviota.avianet.cu,https://www.airlines-inform.com/world_airlines/Aerogaviota.html
Aerolineas Sosa,+504 2407 0234,aerososa@psinet.hn,https://www.airlines-inform.com/world_airlines/Aerolineas_Sosa.html
Aeromar,"+55 431 303 37, +55 513 311 11",atencion.clientes@aeromar.com.mx,https://www.airlines-inform.com/world_airlines/Aeromar.html
Aeromexico,+52 55 5133 4000,amgsasupport@aeromexico.com,https://www.airlines-inform.com/world_airlines/Aeromexico.html
Aeromexico Connect,+52 818 221 1600,amgsasupport@aeromexico.com,https://www.airlines-inform.com/world_airlines/Aerolitoral.html
Aeropacifico,+52 668 817 17 27,info@aeropacifico.com,https://www.airlines-inform.com/world_airlines/Aeropacifico.html
Aha!,+1 775 439 0888,corpcomm@flyaha.com,https://www.airlines-inform.com/world_airlines/aha.html
Air Antilles Express,+594 594 384 322,resa@airantilles.com,https://www.airlines-inform.com/world_airlines/Air_Antilles_Express.html
Air Canada,+1 888 247 22 62,,https://www.airlines-inform.com/world_airlines/Air_Canada.html
Air Canada Jetz,+1 888 247 22 62,feedback form,https://www.airlines-inform.com/world_airlines/Air_Canada_Jetz.html
Air Canada Rouge,+1 888 247 2262,,https://www.airlines-inform.com/world_airlines/Air-Canada-Rouge.html
Air Caraibes,"+590  82 44 47, +820 83 583 5",Callvip.paris@aircaraibes.com,https://www.airlines-inform.com/world_airlines/Air_Caraibes.html
Air Creebec,+1 800 567 65 67,info@aircreebec.ca,https://www.airlines-inform.com/world_airlines/Air_Creebec.html
Air Georgian,+1 905 676.12 21,smonsen@airalliance.ca,https://www.airlines-inform.com/world_airlines/Air_Georgian.html
Air Greenland,+299 70 12 12,info@airgreenland.gl,https://www.airlines-inform.com/world_airlines/Air_Greenland.html
Air Inuit,+1 800 361 29 65,airinuit.info@airinuit.com,https://www.airlines-inform.com/world_airlines/Air_Inuit.html
Air Labrador,+1 709 896 67 30,info@airlabrador.com,https://www.airlines-inform.com/world_airlines/Air_Labrador.html
Air North,+1 800 661 04 07,customerservice@flyairnorth.com,https://www.airlines-inform.com/world_airlines/Air_North.html
Air Nunavut,+1 866 388 58 88,info@airnunavut.ca,https://www.airlines-inform.com/world_airlines/Air_Nunavut.html
Air Panama,+507 316 90 00,reservaciones@airpanama.com,https://www.airlines-inform.com/world_airlines/Air_Panama.html
Air Saint-Pierre,+508 41 0000,contact@airsaintpierre.com,https://www.airlines-inform.com/world_airlines/Air-Saint-Pierre.html
Air Sunshine,+1 954 434 89 00,reservations@airsunshine.com,https://www.airlines-inform.com/world_airlines/Air_Sunshine.html
Air Tindi,+1 888 545 67 94,reservations@airtindi.com,https://www.airlines-inform.com/world_airlines/Air_Tindi.html
Air Transat,"+1 877 872 67 28, +1 514 636 36 30",information@airtransat.com,https://www.airlines-inform.com/world_airlines/Air_Transat.html
Air Wisconsin,+1 920 739 51 23,corporatecommunication@airwis.com,https://www.airlines-inform.com/world_airlines/Air_Wisconsin.html
Airbahn,,,https://www.airlines-inform.com/world_airlines/airbahn.html
Aklak Air,"+1 867 777 35 55, +1 866 707 49 77",info@aklakair.com,https://www.airlines-inform.com/world_airlines/Aklak_Air.html
Alaska Airlines,+1 800 654 5669.,newsroom@alaskaair.com,https://www.airlines-inform.com/world_airlines/Alaska_Airlines.html
Alaska Seaplane Service,+1 907 789 33 31,info@flyalaskaseaplanes.com,https://www.airlines-inform.com/world_airlines/Alaska_Seaplane_Service.html
Allegiant Air,+1 702 851 73 00,malle@allegiantair.com,https://www.airlines-inform.com/world_airlines/Allegiant_Air.html
American Airlines,"+1 817 963 12 34, +1 800 349 32 44",corp.comm@aa.com,https://www.airlines-inform.com/world_airlines/American_Airlines.html
Arajet,,info@arajet.com,https://www.airlines-inform.com/world_airlines/Arajet.html
Avelo Airlines,+1 346 616 9500,support@aveloair.com,https://www.airlines-inform.com/world_airlines/Xtra_Airways.html
Avianca Costa Rica,+506 229 98 22 2,,https://www.airlines-inform.com/world_airlines/LACSA.html
Avianca El Salvador,+503 2267 8222,e_solutions@centrosolucionavianca.com,https://www.airlines-inform.com/world_airlines/TACA_International_Airlines.html
Avianca Guatemala,+50 222 798 222,e_solutions@centrosolucionavianca.com,https://www.airlines-inform.com/world_airlines/Avianca-Guatemala.html
Avianca Honduras,+504 2281 8222,e_solutions@centrosolucionavianca.com,https://www.airlines-inform.com/world_airlines/Islena_Airlines.html
Avioquintana,+52 998 734 1975,operaciones@avioquintana.com,https://www.airlines-inform.com/world_airlines/Avioquintana.html
Bahamasair,+1 242 702 4140,customerrelations@bahamasair.com,https://www.airlines-inform.com/world_airlines/Bahamasair.html
Bearskin Airlines,+1 800 465 2327,cservice@bearskinairlines.com,https://www.airlines-inform.com/world_airlines/Bearskin_Airlines.html
Bering Air,+1 907 443 54 64,reservations@beringair.com,https://www.airlines-inform.com/world_airlines/Bering_Air.html
BermudAir,+1 441 543 9200,info@flybermudair.com,https://www.airlines-inform.com/world_airlines/bermudair.html
Breeze Airways,,get@flybreeze.com,https://www.airlines-inform.com/world_airlines/Breeze-Airways.html
Calm Air,+1 800 839 22 56,mail@calmair.com,https://www.airlines-inform.com/world_airlines/Calm_Air.html
Canada Jetlines,,,https://www.airlines-inform.com/world_airlines/canada-jetlines.html
Canadian North,+1 800 661 15 05,websupport@canadiannorth.com,https://www.airlines-inform.com/world_airlines/Canadian_North.html
CanJet,+1 902 873 78 00,,https://www.airlines-inform.com/world_airlines/CanJet.html
Cape Air,+1 508 771 69 44,wecare@flycapeair.com,https://www.airlines-inform.com/world_airlines/Cape_Air.html
Caribbean Airlines,+1 868 669 3000,mail@caribbean-airlines.com,https://www.airlines-inform.com/world_airlines/Caribbean_Airlines.html
Cayman Airways,+1 345 949 2311,customerrelations@caymanairways.com,https://www.airlines-inform.com/world_airlines/Cayman_Airways.html
Central Mountain Air,+1 888 865 85 85,reservations@flycma.com,https://www.airlines-inform.com/world_airlines/Central_Mountain_Air.html
Colgan Air,+1 703 656 23 07,colganair@aol.com,https://www.airlines-inform.com/world_airlines/Colgan_Air.html
CommutAir,+1 800 864 83 31,HR@Commutair.com,https://www.airlines-inform.com/world_airlines/CommutAir.html
Compass Airlines,+1 612 713 68 00,bill.lange@compassairline.com,https://www.airlines-inform.com/world_airlines/Compass_Airlines.html
Copa Airlines,+507 217 2672,customerservice@copaair.com,https://www.airlines-inform.com/world_airlines/Copa_Airlines.html
Cubana de Aviacion,"+53 7  861 5849, +53 7 266 4732",ventat3@hav.cubana.avianet.cu,https://www.airlines-inform.com/world_airlines/Cubana_de_Aviacion.html
Delta Air Lines,"+1 800 221 12 12, +1 404 715 26 00",,https://www.airlines-inform.com/world_airlines/Delta_Airlines.html
Endeavor Air,"+1 800 221 12 12, +1 800 603 45 94", EndeavorAirHR@endeavorair.com,https://www.airlines-inform.com/world_airlines/Pinnacle_Airlines.html
Enerjet,+1 403 701 80 66,"info@enerjet.ca, deanm@ciacanada.com",https://www.airlines-inform.com/world_airlines/Enerjet.html
Envoy Air,+1 972 374 5200,Envoy.News@aa.com,https://www.airlines-inform.com/world_airlines/American_Eagle_Airlines.html
Exact Air,+1 418 673 35 22   +1 877 673 35 22,info@exactair.ca,https://www.airlines-inform.com/world_airlines/Exact_Air.html
ExpressJet,+1 404 856 10 00,info@expressjet.com,https://www.airlines-inform.com/world_airlines/ExpressJet.html
First Air,+1 800 267 12 47,contact@firstair.ca,https://www.airlines-inform.com/world_airlines/First_Air.html
Flair Airlines,"+1 250 491 55 13, +1 780 809 17 84",info@flairair.ca,https://www.airlines-inform.com/world_airlines/Flair_Airlines.html
Frontier Airlines,+1 801 401 90 00,corpcomm@flyfrontier.com,https://www.airlines-inform.com/world_airlines/Frontier_Airlines.html
Frontier Flying Service,+1 907 450 72 00,info@frontierflying.com,https://www.airlines-inform.com/world_airlines/Frontier_Alaska.html
Gem Air,+1 208 756 73 82,flying@gemairflights.com,https://www.airlines-inform.com/world_airlines/Salmon_Air.html
Global Air,+52 55 55 88 74 84,mrodriguez@globalair.aero,https://www.airlines-inform.com/world_airlines/Global_Air.html
GlobalX - Global Crossing Airlines,+1 786 751 8550,feedback form,https://www.airlines-inform.com/world_airlines/globalx.html
GoJet Airlines,+1 314 222 43 00,info@gojetairlines.com,https://www.airlines-inform.com/world_airlines/GoJet.html
Grand Canyon Airlines,+1 866 235 94 22,res@grandcanyonairlines.com,https://www.airlines-inform.com/world_airlines/Grand_Canyon_Airlines.html
Great Lakes Airlines,+1 800 554 51 11,customer.relations@flygreatlakes.com,https://www.airlines-inform.com/world_airlines/Great_Lakes_Aviation.html
Hageland Aviation Services,"+1 907 266 83 94, +1 907 248 44 22",,https://www.airlines-inform.com/world_airlines/Hageland_Aviation_Services.html
Harbour Air,+1 800 665 02 12,harbour@harbour-air.com,https://www.airlines-inform.com/world_airlines/Harbour_Air_Seaplanes.html
Hawaiian Airlines,"+1 808 835 37 00, + 1 800 367 53 20",akimseu@hawaiianair.com,https://www.airlines-inform.com/world_airlines/Hawaiian_Airlines.html
Hawkair,"+1 250 635 42 95, +1 800 487 12 16",admin@hawkair.ca,https://www.airlines-inform.com/world_airlines/Hawkair_Aviation_Services.html
Horizon Air,"+1 206 241 6757, +1 800 252 75 22",Employment@horizonair.com,https://www.airlines-inform.com/world_airlines/Horizon_Air.html
iAero Airways,+1 866 227 9438,info@flyiaero.com,https://www.airlines-inform.com/world_airlines/iAero-Airways.html
Insel Air,+599 9 737 04 44,information@fly-inselair.com,https://www.airlines-inform.com/world_airlines/Insel_Air.html
InterCaribbean Airways,+1 649 946 49 99,res@intercaribbean.com,https://www.airlines-inform.com/world_airlines/Air_Turks_Caicos.html
Interjet,+52 800 011 2345,customer.service@interjet.com.mx,https://www.airlines-inform.com/world_airlines/Interjet.html
Island Air Service,+1 907 487 45 96,info@flyadq.com,https://www.airlines-inform.com/world_airlines/Island_Air_Service.html
Island Airlines,+1 508 771 77 74,info@islandair.net,https://www.airlines-inform.com/world_airlines/Island_Airlines.html
Jazz Aviation,+1 902 873 50 00,joseph.randell@jazz.ca,https://www.airlines-inform.com/world_airlines/Air_Canada_Jazz.html
JetBlue Airways,"+1 800 538 2583, 1 801 449 2525",corpcomm@jetblue.com,https://www.airlines-inform.com/world_airlines/JetBlue_Airways.html
KD Air,+1 250 752 58 84,info@kdair.com,https://www.airlines-inform.com/world_airlines/KD_Air.html
Kenmore Air,+1 425 486 12 57,customerservice@kenmoreair.com,https://www.airlines-inform.com/world_airlines/Kenmore_Air.html
Kenn Borek Air,+1 403 291 33 00,admin@borekair.com,https://www.airlines-inform.com/world_airlines/Kenn_Borek_Air.html
Key Lime Air,+1 888 870 96 26,info@keylimeair.com,https://www.airlines-inform.com/world_airlines/Key_Lime_Air.html
Kivalliq Air,"+1 204 888 01 00, +1 877 879 84 77",wmcleod@keewatinair.ca,https://www.airlines-inform.com/world_airlines/Kivalliq_Air.html
La Costena,+505 22 985 360,info@lacostena.com.ni,https://www.airlines-inform.com/world_airlines/La_Costena.html
LIAT,+1 268 480 5601,reservations@liat.com,https://www.airlines-inform.com/world_airlines/LIAT.html
Magnicharters,+52 55 5141 1351,administracion@magnitour.com,https://www.airlines-inform.com/world_airlines/Magnicharters.html
