Company Name,Contact Number,url
Aegean Airlines (A3),"""+33 170 031323, +33 170 031323, +49 06 9238 5630, +30 801 11 20000, +39 069 7150532 33, +7 495 139 87 90, +34 900 802376, +44 0871 200 0040, +1 855 323 4326, +30 210 6261000""",https://www.seatguru.com//airlines/Aegean_Airlines/information.php
Aer Lingus (EI),"""1-516-622-4222, 1-516-622-4222, 0871 718 5555, 08180365900, 0818 365000, 1-800-474-7424, 0871 718 5000, (353) 1 886-2009, (877) 351-6882""",https://www.seatguru.com//airlines/Aer_Lingus/information.php
Aeroflot (SU),"""8-800-333-5555, 8-800-333-5555, 45 0207 3552233, 8-800-333-5555, 1-212-944-2300, 44 0207 3552233""",https://www.seatguru.com//airlines/Aeroflot_Russian_Airlines/information.php
Aerolineas Argentinas (AR),"""1-800-688-0008, 1-800-688-0008""",https://www.seatguru.com//airlines/Aerolineas_Argentinas/information.php
Aeromexico (AM),"""1-800-247-3737, 1-800-247-3737, 44 20 7367 0940, 1-800-778-4838, 01-800-021-4000, 1-800-237-6639, 44 20 7367 0940""",https://www.seatguru.com//airlines/AeroMexico/information.php
Air Arabia (G9),""" (02) 6315888,  (02) 6315888,  (06) 5580000""",https://www.seatguru.com//airlines/Air_Arabia/information.php
Air Astana (KC),"""+7 727 244 44 77, +7 727 244 44 77, +7 717 258 44 77, +7 727 244 44 77""",https://www.seatguru.com//airlines/Air_Astana/information.php
Air Austral (UU),"""""",https://www.seatguru.com//airlines/Air_Austral/information.php
Air Baltic (BT),"""6610819, 6610819, +358 974 790 415, +371 67229696, +371 6700 6006, 90001100, 890015004, +7 (495) 969 2248, +380 893 202414""",https://www.seatguru.com//airlines/Air_Baltic/information.php
Air Belgium (KF),"""""",https://www.seatguru.com//airlines/Air_Belgium/information.php
Air Canada (AC),"""1-800-361-5373, 1-800-361-5373, 1-888-247-2262, 1-888-247-2262, 0871 220 1111""",https://www.seatguru.com//airlines/Air_Canada/information.php
Air Caraibes (TX),"""+33 0820 835 835, +33 0820 835 835""",https://www.seatguru.com//airlines/Air_Caraibes/information.php
Air China (CA),"""0086-4006-100-666, 0086-4006-100-666, 86-4008-100-999, 1-800-882-8122, 00-800-86-100-999""",https://www.seatguru.com//airlines/Air_China/information.php
Air Corsica (XK),"""0 825 35 35 35, 0 825 35 35 35, +33 04 95 20 95 20""",https://www.seatguru.com//airlines/Air_Corsica/information.php
Air Dolomiti (EN),"""+49 089 9758 0497, +49 089 9758 0497, +39 045 288 6140""",https://www.seatguru.com//airlines/Air_Dolomiti/information.php
Air Europa (UX),"""1 800 238 7672, 1 800 238 7672""",https://www.seatguru.com//airlines/Air_Europa/information.php
Air France (AF),"""1-800-375-8723, 1-800-375-8723, 0820 320 820, 1-800-237-2747, 0871 66 33 777""",https://www.seatguru.com//airlines/Air_France/information.php
Air India (AI),"""011 - 24622220, 011 - 24622220, 212-407-1300, 0208 745 1000""",https://www.seatguru.com//airlines/Air_India/information.php
Air India Express (IX),"""00662-2310555, 00662-2310555, 00971-4-2666950, 1412**-22796330""",https://www.seatguru.com//airlines/Air_India_Express/information.php
Air Macau (NX),"""+86 10 6515 8988, +86 10 6515 8988, +86 21 6248 1110, +86 28 8595 8616, +86 23 6799 8533, +86 571 8586 0401, +86 21 6248 1110, +86 754 8277 1846, +853 8396 5555, +86 021 6248 1110, +86 077 1210 3195, +86 0574 8720 3380, +86 21 6248 1110, +86 21 6248 1110, +86 755 8366 8381, +886 2 2717 0377, +86 35 1872 0670, +86 22 5868 3910, +86 571 8586 0401, +86 592 211801, +86 371 8617 2081, +86 756 8871855, +81 6 6263 5383, +82 2 779 8899, +662 2864288, +84 9035 02009, +84 2432 262238""",https://www.seatguru.com//airlines/Air_Macau/information.php
Air Malta (KM),"""https://www.airmalta.com/?cjevent=a493294ea49711e983ad00440a240613, +356 21 662 211, https://www.airmalta.com/?cjevent=a493294ea49711e983ad00440a240613""",https://www.seatguru.com//airlines/Air_Malta/information.php
Air Mauritius (MK),"""+230 207 7070, +230 207 7070, +230 603 3072/3, +230 207 7575, (230) 603 3673, (230) 603 36 34/35, +230 603 3030, (230) 603 36 48/33""",https://www.seatguru.com//airlines/Air_Mauritius/information.php
